task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
23	7d/af6a0f	16806	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_TRIM (SAMPLE3_SE)	COMPLETED	0	2021-11-30 14:42:15.836	6.2s	4s	150.6%	261.1 MB	3.2 GB	25.9 MB	2.2 MB
24	1c/2e9765	17273	NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE3_SE)	COMPLETED	0	2021-11-30 14:42:22.033	39.1s	37s	101.9%	41.5 MB	279.5 MB	47.8 MB	38.4 MB
26	89/8e886f	19518	NFCORE_VIRALRECON:ILLUMINA:CUTADAPT (SAMPLE2_PE)	COMPLETED	0	2021-11-30 14:43:01.113	11.3s	10s	154.0%	129.9 MB	1.1 GB	103.1 MB	100.7 MB
27	ac/ce4556	21254	NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (SAMPLE2_PE)	COMPLETED	0	2021-11-30 14:43:12.460	2s	1s	142.1%	4.1 MB	26.6 MB	4.6 MB	2.4 MB
28	5f/398fdd	21471	NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (SAMPLE1_PE)	COMPLETED	0	2021-11-30 14:43:14.502	2.1s	0ms	172.5%	37.2 MB	1.9 GB	6.1 MB	3.2 MB
29	68/176842	21695	NFCORE_VIRALRECON:ILLUMINA:CUTADAPT (SAMPLE1_PE)	COMPLETED	0	2021-11-30 14:43:16.647	12.4s	10s	187.2%	146.1 MB	1.1 GB	129 MB	126.8 MB
30	8b/a0f21c	23613	NFCORE_VIRALRECON:ILLUMINA:CUTADAPT (SAMPLE3_SE)	COMPLETED	0	2021-11-30 14:43:29.040	11.4s	10s	183.8%	128.8 MB	734 MB	124.7 MB	122.3 MB
31	2e/e0751c	25138	NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (SAMPLE3_SE)	COMPLETED	0	2021-11-30 14:43:40.406	2.1s	1s	173.2%	36.1 MB	1.9 GB	5.5 MB	2.6 MB
33	b2/92a486	25355	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_MINIA:MINIA (SAMPLE2_PE)	COMPLETED	0	2021-11-30 14:43:42.478	3.6s	2s	140.9%	119.3 MB	1.2 GB	56.9 MB	24.5 MB
32	1e/17fa54	25747	NFCORE_VIRALRECON:ILLUMINA:FASTQC (SAMPLE2_PE)	COMPLETED	0	2021-11-30 14:43:46.111	7.3s	6s	165.3%	300.7 MB	3.3 GB	25.8 MB	4.4 MB
35	49/b4b5ce	26305	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE2_PE)	COMPLETED	0	2021-11-30 14:43:53.445	1m 49s	1m 46s	168.6%	380.2 MB	3.6 GB	407.5 MB	781.3 MB
34	b4/74349e	42385	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE2_PE)	COMPLETED	0	2021-11-30 14:45:42.234	25.2s	25s	165.0%	235.9 MB	1.6 GB	57.6 MB	383.9 MB
36	ab/9070f4	43601	NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (SAMPLE2_PE)	COMPLETED	0	2021-11-30 14:46:07.430	1.8s	0ms	105.3%	4.3 MB	26.8 MB	2.5 MB	4.6 KB
37	a4/501e35	43818	NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (SAMPLE1_PE)	COMPLETED	0	2021-11-30 14:46:09.200	1.8s	0ms	95.2%	4.3 MB	26.8 MB	3.2 MB	4.7 KB
39	8a/88d0cf	44045	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_MINIA:MINIA (SAMPLE1_PE)	COMPLETED	0	2021-11-30 14:46:10.971	3.7s	2s	150.3%	118 MB	1.2 GB	65.3 MB	28.7 MB
38	2e/e80141	44438	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE1_PE)	COMPLETED	0	2021-11-30 14:46:14.661	31.6s	30s	164.3%	288.9 MB	1.6 GB	70.7 MB	463.9 MB
40	1f/56281d	45727	NFCORE_VIRALRECON:ILLUMINA:FASTQC (SAMPLE1_PE)	COMPLETED	0	2021-11-30 14:46:46.277	9.6s	8s	160.1%	374.5 MB	3.3 GB	27.1 MB	4.3 MB
41	3a/d75d0d	46356	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE1_PE)	COMPLETED	0	2021-11-30 14:46:55.893	2m 41s	2m 39s	180.5%	469.2 MB	3.6 GB	490.7 MB	903.6 MB
42	86/0322ac	63726	NFCORE_VIRALRECON:ILLUMINA:FASTQC (SAMPLE3_SE)	COMPLETED	0	2021-11-30 14:49:36.674	7.3s	5s	134.2%	301.5 MB	3.2 GB	25.4 MB	2.2 MB
43	d8/0f3431	64252	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE3_SE)	COMPLETED	0	2021-11-30 14:49:44.014	1m 51s	1m 50s	165.0%	456.3 MB	3.6 GB	349.2 MB	700.3 MB
