task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
8	88/7f4896	211006	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB (nCoV-2019.reference.fasta)	COMPLETED	0	2021-11-22 19:57:13.890	5.4s	2s	36.6%	29.1 MB	62.8 MB	185.2 KB	56.6 KB
4	0d/b159c5	211284	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA (nCoV-2019.primer.bed)	COMPLETED	0	2021-11-22 19:57:19.259	2.9s	0ms	37.8%	3 MB	15.5 MB	84 KB	9.4 KB
3	8b/74078b	211501	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed)	COMPLETED	0	2021-11-22 19:57:22.131	4.3s	1s	29.7%	3.4 MB	15.6 MB	645.5 KB	3.9 KB
1	33/984e21	211738	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GET_CHROM_SIZES (nCoV-2019.reference.fasta)	COMPLETED	0	2021-11-22 19:57:26.476	3.1s	0ms	30.0%	3 MB	22.1 MB	82.6 KB	390 B
5	38/14e0cd	211948	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta)	COMPLETED	0	2021-11-22 19:57:29.620	4.6s	2s	60.1%	109.8 MB	459.5 MB	1.7 MB	8.3 MB
7	c0/19e30e	212256	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz)	COMPLETED	0	2021-11-22 19:57:34.214	2.8s	94ms	63.2%	0	0	87.7 KB	4.8 KB
2	ed/9acc9c	212432	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_hs22.tar.gz)	COMPLETED	0	2021-11-22 19:57:37.012	3.3s	1.2s	102.7%	6.9 MB	11.1 MB	91.9 MB	105.2 MB
6	c6/c1f1ba	212725	NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test_illumina_amplicon.csv)	COMPLETED	0	2021-11-22 19:57:40.357	2.9s	0ms	73.5%	9.5 MB	31.7 MB	652.5 KB	908 B
9	97/f19dca	212934	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (nCoV-2019.reference.fasta)	COMPLETED	0	2021-11-22 19:57:43.309	8.7s	6s	42.0%	63.9 MB	8.9 GB	17.8 MB	16.6 KB
12	f2/51d0e9	213679	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW (SAMPLE2_PE)	COMPLETED	0	2021-11-22 19:57:52.047	21.2s	18s	171.3%	366.8 MB	3.3 GB	26.6 MB	4.7 MB
13	16/52761e	214499	NFCORE_VIRALRECON:ILLUMINA:CAT_FASTQ (SAMPLE3_SE)	COMPLETED	0	2021-11-22 19:58:13.283	2.1s	78ms	37.5%	3.4 MB	6.5 MB	5.6 MB	5.5 MB
