task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	b0/2ea2ed	572855	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_hs22.tar.gz)	COMPLETED	0	2021-11-23 16:06:28.579	3.5s	1.2s	100.8%	6.7 MB	11.1 MB	91.9 MB	105.2 MB
1	28/c11b15	573092	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed)	COMPLETED	0	2021-11-23 16:06:32.084	2.9s	1s	25.1%	2.9 MB	16.9 MB	645.5 KB	3.9 KB
5	62/cd5b09	573300	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz)	COMPLETED	0	2021-11-23 16:06:35.036	1.1s	33ms	63.2%	2.9 MB	3.9 MB	87.7 KB	4.8 KB
3	95/308134	573517	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GET_CHROM_SIZES (nCoV-2019.reference.fasta)	COMPLETED	0	2021-11-23 16:06:36.151	2.6s	1s	15.1%	3 MB	22.1 MB	82.6 KB	395 B
2	e7/d13686	573736	NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test_illumina_amplicon.csv)	COMPLETED	0	2021-11-23 16:06:38.755	2.6s	0ms	32.2%	3.3 MB	15.6 MB	652.5 KB	913 B
7	34/f156b6	573943	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta)	COMPLETED	0	2021-11-23 16:06:41.378	4.2s	1s	60.4%	109.8 MB	459.5 MB	1.7 MB	8.3 MB
8	6c/bcdbe9	574269	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB (nCoV-2019.reference.fasta)	COMPLETED	0	2021-11-23 16:06:45.547	2.9s	0ms	33.7%	3 MB	22.1 MB	185.2 KB	56.6 KB
6	00/004b4a	574481	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA (nCoV-2019.primer.bed)	COMPLETED	0	2021-11-23 16:06:48.421	2.1s	0ms	29.1%	3 MB	22.1 MB	84 KB	9.4 KB
9	c4/b1f35d	574698	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (nCoV-2019.reference.fasta)	COMPLETED	0	2021-11-23 16:06:50.549	6.5s	4s	56.8%	63.5 MB	9 GB	17.8 MB	16.6 KB
11	cb/0143bf	575191	NFCORE_VIRALRECON:ILLUMINA:CAT_FASTQ (SAMPLE3_SE)	COMPLETED	0	2021-11-23 16:06:57.050	1.9s	131ms	26.3%	3.3 MB	6.5 MB	5.6 MB	5.5 MB
14	0e/3ba2af	575395	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW (SAMPLE2_PE)	COMPLETED	0	2021-11-23 16:06:58.907	14s	12s	182.2%	309.8 MB	3.3 GB	26.6 MB	4.7 MB
10	76/08f9af	576213	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW (SAMPLE1_PE)	COMPLETED	0	2021-11-23 16:07:12.934	14.5s	12s	184.7%	373.8 MB	3.3 GB	28.5 MB	4.7 MB
13	50/e42219	577037	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE2_PE)	COMPLETED	0	2021-11-23 16:07:27.476	12.8s	10s	116.3%	600.2 MB	1007.1 MB	10.9 MB	5.6 MB
12	71/dce16e	577750	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE1_PE)	COMPLETED	0	2021-11-23 16:07:40.307	16.4s	13s	119.7%	587.3 MB	1007.1 MB	14.8 MB	7 MB
15	a3/2ec3de	578524	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE3_SE)	COMPLETED	0	2021-11-23 16:07:56.678	13.9s	11s	109.4%	441.6 MB	780.8 MB	11.5 MB	6.2 MB
16	55/0f1fbf	579288	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW (SAMPLE3_SE)	COMPLETED	0	2021-11-23 16:08:10.587	11.7s	9s	169.1%	257.9 MB	3.2 GB	25.6 MB	2.3 MB
17	f5/497a77	579975	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_TRIM (SAMPLE2_PE)	COMPLETED	0	2021-11-23 16:08:22.309	15.8s	13s	179.5%	326.1 MB	3.3 GB	26.3 MB	4.5 MB
18	4d/8f04e1	580760	NFCORE_VIRALRECON:ILLUMINA:KRAKEN2_KRAKEN2 (SAMPLE2_PE)	COMPLETED	0	2021-11-23 16:08:38.070	6.3s	4s	154.0%	97.3 MB	301.2 MB	101.3 MB	29.3 MB
19	d6/08797c	581204	NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE2_PE)	COMPLETED	0	2021-11-23 16:08:44.365	3m 23s	3m 21s	100.4%	60.2 MB	279.5 MB	41.6 MB	32.2 MB
20	11/705016	587672	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_TRIM (SAMPLE1_PE)	COMPLETED	0	2021-11-23 16:12:07.852	17.4s	15s	188.3%	309.5 MB	3.3 GB	27.8 MB	4.5 MB
21	52/5f26ec	588475	NFCORE_VIRALRECON:ILLUMINA:KRAKEN2_KRAKEN2 (SAMPLE1_PE)	COMPLETED	0	2021-11-23 16:12:25.232	7.1s	4s	172.4%	141.8 MB	245.5 MB	113.7 MB	37.1 MB
22	a8/641dbb	589025	NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE1_PE)	COMPLETED	0	2021-11-23 16:12:32.299	4m 7s	4m 4s	100.6%	60.6 MB	279.5 MB	50.1 MB	40.9 MB
23	06/e142f0	596553	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_TRIM (SAMPLE3_SE)	COMPLETED	0	2021-11-23 16:16:39.010	10.2s	8s	169.2%	248.5 MB	3.2 GB	26 MB	2.2 MB
25	29/0566e9	597184	NFCORE_VIRALRECON:ILLUMINA:KRAKEN2_KRAKEN2 (SAMPLE3_SE)	COMPLETED	0	2021-11-23 16:16:49.259	6.9s	4s	176.7%	101.4 MB	237.9 MB	111.8 MB	36.7 MB
24	ff/5b1466	597626	NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE3_SE)	COMPLETED	0	2021-11-23 16:16:56.203	1m 43s	1m 41s	101.0%	41.7 MB	279.5 MB	47.8 MB	38.4 MB
26	53/189a27	601449	NFCORE_VIRALRECON:ILLUMINA:CUTADAPT (SAMPLE2_PE)	COMPLETED	0	2021-11-23 16:18:38.736	30.4s	28s	153.2%	103.4 MB	1002.2 MB	103.1 MB	100.7 MB
27	a5/b2438d	604418	NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (SAMPLE2_PE)	COMPLETED	0	2021-11-23 16:19:09.139	3.5s	0ms	102.5%	2.8 MB	22.1 MB	4.6 MB	2.4 MB
28	97/229809	604636	NFCORE_VIRALRECON:ILLUMINA:CUTADAPT (SAMPLE1_PE)	COMPLETED	0	2021-11-23 16:19:12.633	31.4s	29s	187.1%	139.9 MB	1.1 GB	129 MB	126.8 MB
29	c0/3677f8	607684	NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (SAMPLE1_PE)	COMPLETED	0	2021-11-23 16:19:44.006	2.8s	1s	177.1%	33.3 MB	1.7 GB	6.1 MB	3.2 MB
30	b3/1cff0a	607901	NFCORE_VIRALRECON:ILLUMINA:CUTADAPT (SAMPLE3_SE)	COMPLETED	0	2021-11-23 16:19:46.833	30.9s	29s	184.1%	129.4 MB	796.8 MB	124.7 MB	122.3 MB
31	30/4ae305	610392	NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (SAMPLE3_SE)	COMPLETED	0	2021-11-23 16:20:17.713	3.2s	1s	162.8%	19.7 MB	1.7 GB	5.5 MB	2.6 MB
33	e9/6cd2ec	610611	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_MINIA:MINIA (SAMPLE2_PE)	COMPLETED	0	2021-11-23 16:20:20.913	5.6s	3s	140.0%	120.2 MB	5.3 GB	56.9 MB	24.5 MB
34	26/88e10a	611109	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE2_PE)	COMPLETED	0	2021-11-23 16:20:26.562	3m 33s	3m 30s	173.4%	381.1 MB	3.6 GB	407.5 MB	781.3 MB
32	5b/b9cea2	629404	NFCORE_VIRALRECON:ILLUMINA:FASTQC (SAMPLE2_PE)	COMPLETED	0	2021-11-23 16:23:59.363	17.7s	15s	185.9%	303.3 MB	3.3 GB	25.9 MB	4.4 MB
35	16/1e1777	630203	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE2_PE)	COMPLETED	0	2021-11-23 16:24:17.113	54.1s	52s	165.9%	236 MB	1.6 GB	57.6 MB	383.9 MB
36	e4/d7ede7	631867	NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (SAMPLE2_PE)	COMPLETED	0	2021-11-23 16:25:11.212	2.2s	0ms	111.1%	4.4 MB	26.8 MB	2.5 MB	4.7 KB
37	a9/82cecd	632089	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE1_PE)	COMPLETED	0	2021-11-23 16:25:13.429	1m 4s	1m 3s	168.4%	289.5 MB	1.6 GB	70.7 MB	463.9 MB
39	f9/48f29a	633904	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_MINIA:MINIA (SAMPLE1_PE)	COMPLETED	0	2021-11-23 16:26:17.786	6.5s	4s	143.0%	134.3 MB	5.3 GB	65.3 MB	28.7 MB
38	ec/bd6469	634416	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE1_PE)	COMPLETED	0	2021-11-23 16:26:24.289	5m 10s	5m 7s	180.5%	469.3 MB	3.6 GB	490.7 MB	903.6 MB
40	46/7ec1e9	655113	NFCORE_VIRALRECON:ILLUMINA:FASTQC (SAMPLE1_PE)	COMPLETED	0	2021-11-23 16:31:33.936	14.5s	12s	180.0%	323.8 MB	3.3 GB	27.1 MB	4.3 MB
41	ba/a76297	655917	NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (SAMPLE1_PE)	COMPLETED	0	2021-11-23 16:31:48.460	2.4s	0ms	50.6%	2.7 MB	11.8 MB	3.2 MB	4.7 KB
43	55/e3c4cd	656138	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE3_SE)	COMPLETED	0	2021-11-23 16:31:50.875	44s	43s	167.7%	271.8 MB	1.6 GB	42.7 MB	529.1 MB
44	3c/af2155	657655	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_MINIA:MINIA (SAMPLE3_SE)	COMPLETED	0	2021-11-23 16:32:34.843	6.9s	4s	133.8%	128.6 MB	5.3 GB	63.5 MB	28.1 MB
45	34/9958de	658226	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE3_SE)	COMPLETED	0	2021-11-23 16:32:41.764	3m 55s	3m 53s	165.4%	456.4 MB	3.8 GB	349.2 MB	700.3 MB
42	17/31dd7a	670499	NFCORE_VIRALRECON:ILLUMINA:FASTQC (SAMPLE3_SE)	COMPLETED	0	2021-11-23 16:36:37.102	11.4s	10s	157.9%	255.5 MB	3.2 GB	25.4 MB	2.2 MB
46	cc/02b85c	671196	NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (SAMPLE3_SE)	COMPLETED	0	2021-11-23 16:36:48.523	2.8s	0ms	85.1%	4.3 MB	26.7 MB	2.7 MB	4.7 KB
47	ca/45b27e	671407	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_MINIA:ASSEMBLY_QC:BLAST_BLASTN (SAMPLE2_PE)	COMPLETED	0	2021-11-23 16:36:51.295	3.1s	1s	34.5%	2.8 MB	22.1 MB	193.7 KB	2 KB
48	04/13334e	671625	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_MINIA:ASSEMBLY_QC:ABACAS (SAMPLE2_PE)	COMPLETED	0	2021-11-23 16:36:54.410	2.7s	0ms	62.6%	3 MB	22.1 MB	1008 KB	116.7 KB
51	aa/675602	671865	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:BANDAGE_IMAGE (SAMPLE2_PE)	COMPLETED	0	2021-11-23 16:36:57.131	2.5s	610ms	58.3%	4.8 MB	53.7 MB	327.3 KB	60.4 KB
49	a6/c76ba3	672077	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:ASSEMBLY_QC:BLAST_BLASTN (SAMPLE2_PE)	COMPLETED	0	2021-11-23 16:36:59.632	2.8s	1s	103.1%	12.7 MB	67.2 MB	193.4 KB	863 B
50	d3/a90302	672296	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:ASSEMBLY_QC:ABACAS (SAMPLE2_PE)	COMPLETED	0	2021-11-23 16:37:02.477	2.4s	0ms	101.1%	7.6 MB	27.8 MB	1002.7 KB	103.5 KB
52	ba/58e621	672529	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:ASSEMBLY_QC:BLAST_BLASTN (SAMPLE2_PE)	COMPLETED	0	2021-11-23 16:37:04.845	2.4s	0ms	103.0%	12.6 MB	67.2 MB	204 KB	1.1 KB
