task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
5	a0/3df4fb	1833	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB (nCoV-2019.reference.fasta)	COMPLETED	0	2021-11-22 17:58:07.115	5.9s	2s	26.7%	11.6 MB	93.9 MB	185.1 KB	56.6 KB
2	81/5f4740	2185	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GET_CHROM_SIZES (nCoV-2019.reference.fasta)	COMPLETED	0	2021-11-22 17:58:13.033	3.6s	0ms	11.8%	2.9 MB	22.1 MB	82.5 KB	381 B
4	1a/50a555	2420	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz)	COMPLETED	0	2021-11-22 17:58:16.676	2.7s	132ms	52.2%	0	0	87.6 KB	4.8 KB
8	9d/47fe90	2604	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta)	COMPLETED	0	2021-11-22 17:58:19.358	4.9s	2s	65.5%	109.6 MB	459.5 MB	1.7 MB	8.3 MB
6	4c/3e1d91	2905	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed)	COMPLETED	0	2021-11-22 17:58:24.288	3.3s	0ms	30.8%	3.4 MB	15.6 MB	645.4 KB	3.9 KB
1	95/87a082	3108	NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test_illumina_amplicon.csv)	COMPLETED	0	2021-11-22 17:58:27.598	2.9s	0ms	73.7%	9.8 MB	32 MB	652.4 KB	899 B
7	fa/12ea40	3320	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_hs22.tar.gz)	COMPLETED	0	2021-11-22 17:58:30.508	3.9s	1.3s	103.1%	6.7 MB	11.1 MB	91.9 MB	105.2 MB
3	75/331493	3638	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA (nCoV-2019.primer.bed)	COMPLETED	0	2021-11-22 17:58:34.368	2.8s	0ms	39.4%	2.9 MB	22.1 MB	84 KB	9.4 KB
9	01/b05be7	3856	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (nCoV-2019.reference.fasta)	COMPLETED	0	2021-11-22 17:58:37.180	7.4s	5s	55.3%	64.2 MB	9 GB	17.8 MB	16.6 KB
14	d4/479d3b	4518	NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW (SAMPLE2_PE)	COMPLETED	0	2021-11-22 17:58:44.558	19.6s	17s	166.8%	253.8 MB	3.3 GB	26.7 MB	4.7 MB
