task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
147	c3/54b0cc	542421	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:PANGOLIN (SAMPLE3_SE)	COMPLETED	0	2021-11-23 16:24:58.168	9.6s	9s	107.7%	653.2 MB	1.8 GB	125.6 MB	300.4 KB
149	1f/0f2423	544045	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS_TO_VCF (SAMPLE3_SE)	COMPLETED	0	2021-11-23 16:25:07.750	1.6s	0ms	105.3%	10.7 MB	32.6 MB	659.2 KB	21.4 KB
148	8d/782dcd	543171	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:QUAST	COMPLETED	0	2021-11-23 16:25:03.042	6.8s	6.2s	109.7%	130 MB	703.2 MB	389.9 MB	8.1 MB
150	b7/de5f40	544405	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_BCFTOOLS:MAKE_CONSENSUS:MAKE_BED_MASK (SAMPLE2_PE)	COMPLETED	0	2021-11-23 16:25:09.398	1.6s	0ms	117.6%	10.4 MB	32.2 MB	697 KB	30.2 KB
152	4f/7f8aeb	544652	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_BCFTOOLS:MAKE_CONSENSUS:BEDTOOLS_GENOMECOV (SAMPLE3_SE)	COMPLETED	0	2021-11-23 16:25:09.888	1.8s	0ms	106.4%	8.1 MB	31.5 MB	2.8 MB	217.7 KB
151	2c/344278	544900	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_BCFTOOLS:SNPEFF_SNPSIFT:SNPEFF_ANN (SAMPLE3_SE)	COMPLETED	0	2021-11-23 16:25:10.966	4.8s	3s	70.8%	101.7 MB	9 GB	19.4 MB	44.4 KB
156	88/e9b59f	545977	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_BCFTOOLS:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:TABIX_TABIX (SAMPLE2_PE)	COMPLETED	0	2021-11-23 16:25:15.807	1.8s	0ms	50.0%	2.9 MB	11 MB	38.5 KB	1.7 KB
154	04/7415c9	546282	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_BCFTOOLS:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:BCFTOOLS_STATS (SAMPLE2_PE)	COMPLETED	0	2021-11-23 16:25:17.571	1.7s	0ms	80.0%	2.9 MB	11 MB	61.6 KB	3.5 KB
155	3d/bec9f2	546698	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_BCFTOOLS:SNPEFF_SNPSIFT:SNPSIFT_EXTRACTFIELDS (SAMPLE2_PE)	COMPLETED	0	2021-11-23 16:25:19.270	2.3s	1s	153.3%	10.9 MB	32.7 MB	15.8 MB	10.3 KB
153	a9/a986be	545128	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_BCFTOOLS:ASCIIGENOME (SAMPLE3_SE)	COMPLETED	0	2021-11-23 16:25:11.651	10.2s	9s	170.2%	767.1 MB	5.6 GB	50.5 MB	8.9 MB
159	79/2de3ef	547149	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:TABIX_TABIX (SAMPLE2_PE)	COMPLETED	0	2021-11-23 16:25:21.579	1.7s	0ms	57.1%	2.9 MB	11 MB	36.7 KB	1.7 KB
158	62/7a5151	547277	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:BCFTOOLS_STATS (SAMPLE2_PE)	COMPLETED	0	2021-11-23 16:25:21.863	1.6s	0ms	100.0%	2.9 MB	11 MB	57.9 KB	3.7 KB
160	91/fae7b6	547782	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_BCFTOOLS:MAKE_CONSENSUS:BEDTOOLS_MERGE (SAMPLE1_PE)	COMPLETED	0	2021-11-23 16:25:23.504	1.7s	0ms	44.4%	2.8 MB	11 MB	45.5 KB	303 B
161	21/7918f3	548201	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_BCFTOOLS:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:TABIX_BGZIP (SAMPLE1_PE)	COMPLETED	0	2021-11-23 16:25:25.184	1.5s	0ms	100.0%	0	0	43.1 KB	4 KB
162	df/37191b	548584	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_BGZIP_TABIX_STATS:TABIX_BGZIP (SAMPLE1_PE)	COMPLETED	0	2021-11-23 16:25:26.701	1.6s	0ms	80.0%	0	0	37.1 KB	2.2 KB
157	fa/27d2e6	547664	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:SNPEFF_SNPSIFT:SNPEFF_ANN (SAMPLE2_PE)	COMPLETED	0	2021-11-23 16:25:23.268	5.1s	4s	70.1%	98.7 MB	8.9 GB	19.4 MB	57.5 KB
164	37/e2b344	549019	NFCORE_VIRALRECON:ILLUMINA:PLOT_MOSDEPTH_REGIONS_GENOME	COMPLETED	0	2021-11-23 16:25:28.377	5.4s	4s	97.3%	320.1 MB	894.3 MB	24.8 MB	76.9 KB
165	a9/e1546a	549890	NFCORE_VIRALRECON:ILLUMINA:MULTIQC_CUSTOM_TSV_IVAR_NEXTCLADE	COMPLETED	0	2021-11-23 16:25:33.755	521ms	3ms	80.0%	0	0	58.7 KB	253 B
163	22/ed2bcb	548989	NFCORE_VIRALRECON:ILLUMINA:PLOT_MOSDEPTH_REGIONS_AMPLICON	COMPLETED	0	2021-11-23 16:25:28.335	6.4s	5s	102.6%	337 MB	1 GB	24.8 MB	156.5 KB
166	af/b2be85	550077	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_BGZIP_TABIX_STATS:TABIX_BGZIP (SAMPLE3_SE)	COMPLETED	0	2021-11-23 16:25:34.279	1.5s	0ms	80.0%	0	0	56.1 KB	4.2 KB
167	6c/8b384c	550272	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_BCFTOOLS:MAKE_CONSENSUS:BEDTOOLS_MASKFASTA (SAMPLE2_PE)	COMPLETED	0	2021-11-23 16:25:34.752	1.5s	0ms	66.7%	2.9 MB	11 MB	74.9 KB	29.9 KB
168	69/e58d12	550495	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_BCFTOOLS:MAKE_CONSENSUS:BEDTOOLS_MERGE (SAMPLE3_SE)	COMPLETED	0	2021-11-23 16:25:35.774	1.6s	0ms	57.1%	2.6 MB	11 MB	46.2 KB	494 B
169	a1/16f659	550717	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_BCFTOOLS:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:TABIX_BGZIP (SAMPLE3_SE)	COMPLETED	0	2021-11-23 16:25:36.262	1.5s	0ms	100.0%	0	0	42.2 KB	3.9 KB
170	4b/4796e4	551015	NFCORE_VIRALRECON:ILLUMINA:BCFTOOLS_ISEC (SAMPLE2_PE)	COMPLETED	0	2021-11-23 16:25:37.335	1.6s	0ms	125.0%	2.8 MB	11 MB	63.6 KB	3.6 KB
172	ef/cc9895	551507	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_BCFTOOLS:MAKE_CONSENSUS:MAKE_BED_MASK (SAMPLE1_PE)	COMPLETED	0	2021-11-23 16:25:38.970	1.7s	0ms	63.2%	10.4 MB	32.4 MB	696.9 KB	30 KB
173	e5/526312	551890	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_BCFTOOLS:SNPEFF_SNPSIFT:SNPSIFT_EXTRACTFIELDS (SAMPLE1_PE)	COMPLETED	0	2021-11-23 16:25:40.691	2.5s	1s	136.1%	11.3 MB	33.2 MB	15.8 MB	8.1 KB
174	af/2eb4eb	552317	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_BCFTOOLS:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:TABIX_TABIX (SAMPLE1_PE)	COMPLETED	0	2021-11-23 16:25:43.218	1.6s	0ms	66.7%	0	0	38.5 KB	1.7 KB
175	2d/7716f4	552645	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_BCFTOOLS:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:BCFTOOLS_STATS (SAMPLE1_PE)	COMPLETED	0	2021-11-23 16:25:44.860	1.6s	0ms	88.9%	2.9 MB	11 MB	61.6 KB	3.5 KB
176	6d/ff7b46	553069	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:TABIX_TABIX (SAMPLE1_PE)	COMPLETED	0	2021-11-23 16:25:46.504	1.6s	0ms	80.0%	0	0	36.7 KB	1.7 KB
177	48/79a5b9	553428	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:BCFTOOLS_STATS (SAMPLE1_PE)	COMPLETED	0	2021-11-23 16:25:48.156	1.6s	0ms	40.0%	2.6 MB	11 MB	58 KB	3.7 KB
179	2b/6a94f1	553739	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:TABIX_BGZIP (SAMPLE2_PE)	COMPLETED	0	2021-11-23 16:25:49.760	1.6s	0ms	80.0%	0	0	44.1 KB	3.4 KB
171	bb/7cb06c	551256	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:ASCIIGENOME (SAMPLE2_PE)	COMPLETED	0	2021-11-23 16:25:37.788	13.9s	13s	168.4%	515.8 MB	5.3 GB	94.9 MB	11.9 MB
181	a1/21a56e	554217	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:BCFTOOLS_STATS (SAMPLE3_SE)	COMPLETED	0	2021-11-23 16:25:51.696	1.6s	0ms	88.9%	2.9 MB	11 MB	62 KB	4.4 KB
182	15/aae49f	554629	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:TABIX_TABIX (SAMPLE3_SE)	COMPLETED	0	2021-11-23 16:25:53.321	1.5s	0ms	100.0%	0	0	38.7 KB	1.7 KB
178	cb/f150ba	554081	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:SNPEFF_SNPSIFT:SNPEFF_ANN (SAMPLE1_PE)	COMPLETED	0	2021-11-23 16:25:51.347	5.1s	4s	71.4%	104 MB	8.9 GB	19.4 MB	57.3 KB
183	06/7e6487	555463	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_BCFTOOLS:MAKE_CONSENSUS:BCFTOOLS_CONSENSUS (SAMPLE2_PE)	COMPLETED	0	2021-11-23 16:25:56.438	1.6s	0ms	88.9%	2.7 MB	11 MB	161.3 KB	90 KB
184	13/c58bc4	555786	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_BCFTOOLS:MAKE_CONSENSUS:MAKE_BED_MASK (SAMPLE3_SE)	COMPLETED	0	2021-11-23 16:25:57.999	1.6s	0ms	84.2%	10.3 MB	32.2 MB	697.2 KB	30.2 KB
180	24/e79085	554966	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:SNPEFF_SNPSIFT:SNPEFF_ANN (SAMPLE3_SE)	COMPLETED	0	2021-11-23 16:25:54.831	5.1s	3s	86.0%	112.8 MB	8.9 GB	19.4 MB	406.6 KB
186	bc/838999	556105	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_BCFTOOLS:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:TABIX_TABIX (SAMPLE3_SE)	COMPLETED	0	2021-11-23 16:25:59.578	1.6s	0ms	50.0%	0	0	38.5 KB	1.7 KB
187	c7/2e7af2	556228	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_BCFTOOLS:SNPEFF_SNPSIFT:SNPSIFT_EXTRACTFIELDS (SAMPLE3_SE)	COMPLETED	0	2021-11-23 16:25:59.932	2.2s	0ms	157.6%	10.2 MB	32.1 MB	15.8 MB	6.7 KB
185	61/f6c861	556588	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_BCFTOOLS:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:BCFTOOLS_STATS (SAMPLE3_SE)	COMPLETED	0	2021-11-23 16:26:01.145	1.5s	0ms	114.3%	2.9 MB	11 MB	61.5 KB	3.6 KB
188	83/02b9f9	556814	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_BCFTOOLS:MAKE_CONSENSUS:BEDTOOLS_MASKFASTA (SAMPLE1_PE)	COMPLETED	0	2021-11-23 16:26:02.092	1.5s	0ms	80.0%	2.8 MB	11 MB	74.7 KB	29.9 KB
189	52/5d6d46	557037	NFCORE_VIRALRECON:ILLUMINA:BCFTOOLS_ISEC (SAMPLE1_PE)	COMPLETED	0	2021-11-23 16:26:02.671	1.6s	1s	222.2%	2.8 MB	11 MB	64 KB	3.7 KB
191	ff/adc36b	557530	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:TABIX_TABIX (SAMPLE2_PE)	COMPLETED	0	2021-11-23 16:26:04.285	1.7s	0ms	66.7%	0	0	38 KB	1.7 KB
193	3d/f08eb4	557797	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:BCFTOOLS_STATS (SAMPLE2_PE)	COMPLETED	0	2021-11-23 16:26:05.948	1.6s	0ms	100.0%	2.8 MB	11 MB	60.5 KB	3.7 KB
192	16/8bc500	558187	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:SNPEFF_SNPSIFT:SNPSIFT_EXTRACTFIELDS (SAMPLE2_PE)	COMPLETED	0	2021-11-23 16:26:07.555	2.5s	0ms	143.2%	11 MB	32.7 MB	15.8 MB	13.9 KB
190	24/102ad5	557272	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:ASCIIGENOME (SAMPLE1_PE)	COMPLETED	0	2021-11-23 16:26:03.595	15.7s	16s	161.7%	685.9 MB	5.3 GB	85.2 MB	13.3 MB
195	d3/99cbff	559887	NFCORE_VIRALRECON:ILLUMINA:BCFTOOLS_ISEC (SAMPLE3_SE)	COMPLETED	0	2021-11-23 16:26:19.261	1.7s	0ms	84.2%	2.8 MB	11 MB	68.2 KB	3.6 KB
